field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
1183,res.company,user_ids,受け入れられたユーザ,res.users,res_company_users_rel,cid,user_id,base,SF
928,res.country,country_group_ids,国グループ,res.country.group,res_country_res_country_group_rel,res_country_id,res_country_group_id,base,SF
943,res.country.group,country_ids,国,res.country,res_country_res_country_group_rel,res_country_group_id,res_country_id,base,SF
5870,res.country.group,exclude_state_ids,会計上の例外,res.country.state,res_country_group_res_country_state_rel,res_country_group_id,res_country_state_id,base,SF
3993,res.country.group,pricelist_ids,価格表,product.pricelist,res_country_group_pricelist_rel,res_country_group_id,pricelist_id,base,SF
1243,res.groups,all_implied_by_ids,間接的に継承するグループ,res.groups,,,,base,SF
1241,res.groups,all_implied_ids,間接的に継承されるグループ,res.groups,,,,base,SF
1227,res.groups,all_user_ids,ユーザおよび継承ユーザ,res.users,,,,base,SF
1244,res.groups,disjoint_ids,排他グループ,res.groups,,,,base,SF
1242,res.groups,implied_by_ids,継承グループ,res.groups,res_groups_implied_rel,hid,gid,base,SF
1240,res.groups,implied_ids,継承元グループ,res.groups,res_groups_implied_rel,gid,hid,base,SF
1231,res.groups,menu_access,アドレスメニュー,ir.ui.menu,ir_ui_menu_group_rel,gid,menu_id,base,SF
1230,res.groups,rule_groups,ルール,ir.rule,rule_group_rel,group_id,rule_group_id,base,SF
1226,res.groups,user_ids,ユーザ,res.users,res_groups_users_rel,gid,uid,base,SF
1232,res.groups,view_access,ビュー,ir.ui.view,ir_ui_view_group_rel,group_id,view_id,base,SF
1029,res.partner,category_id,タグ,res.partner.category,res_partner_res_partner_category_rel,partner_id,category_id,base,SF
3108,res.partner,channel_ids,チャネル,discuss.channel,discuss_channel_member,partner_id,channel_id,base,SF
4782,res.partner,duplicate_bank_partner_ids,重複銀行口座のある取引先,res.partner,,,,base,SF
3080,res.partner,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4858,res.partner.bank,duplicate_bank_partner_ids,重複銀行口座のある取引先,res.partner,,,,base,SF
4830,res.partner.bank,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
989,res.partner.category,partner_ids,取引先,res.partner,res_partner_res_partner_category_rel,category_id,partner_id,base,SF
2895,res.role,user_ids,ユーザ,res.users,res_role_res_users_rel,res_role_id,res_users_id,base,SF
1281,res.users,all_group_ids,グループおよび継承グループ,res.groups,,,,base,SF
1322,res.users,category_id,タグ,res.partner.category,,,,base,SF
2937,res.users,channel_ids,チャネル,discuss.channel,,,,base,SF
1275,res.users,company_ids,会社,res.company,res_company_users_rel,user_id,cid,base,SF
4106,res.users,crm_team_ids,販売チーム,crm.team,,,,base,SF
